label,message
spam,Congratulations! You won an iPhone 15. Click here to claim it.
spam,Urgent! Your bank account needs verification or it will be suspended.
spam,Free Bitcoins are waiting for you! Sign up now.
spam,Earn $5000 per week from home!
spam,You have a package delivery issue. Confirm your details here.
spam,Get your free credit card today!
spam,You are our lucky winner of an Amazon gift card!
spam,Your account security is at risk. Click here immediately.
spam,Double your income in just 7 days!
spam,Exclusive diet pill – lose 10kg in 2 weeks!
spam,Open this link for secret investment tips.
spam,Your Facebook account will be locked – verify now.
spam,Get free access to Netflix Premium.
spam,Warning: You have an unpaid invoice!
spam,Viagra now 50% off – today only!
spam,Urgent: Your PayPal account has a security issue.
spam,You won! Click here to claim your prize.
spam,Invest in cryptocurrencies and make millions!
spam,Confirm your account to avoid a penalty.
spam,Free vacation for 2 people! Sign up now.
spam,Click here to erase your debts in 24 hours.
spam,Exclusive invitation: Become a mystery shopper!
spam,Get your free luxury car today.
spam,Alert: Suspicious activity detected on your account.
spam,Make money with minimal effort – start here.
spam,Your order has been held – check details.
spam,Exclusive beauty products at half price.
spam,Boost your income with this secret trick.
spam,You are eligible for a refund.
spam,Free gifts are waiting for you!
spam,Extend your warranty for free.
spam,Click for secret stock tips.
spam,You have been selected for a secret project.
spam,Get loans with no credit check!
spam,Your computer is infected – download this tool.
spam,Double your money in 24 hours!
spam,You won VIP status in our lottery.
spam,Free tickets for the Champions League final.
spam,Warning: Your account will be deleted if you don’t click.
spam,Exclusive diet recipes – free for a limited time.
spam,Your package is ready for pickup – confirm address.
spam,Earn money from home with surveys.
spam,You have a hidden inheritance – claim now.
spam,Click here for secret weight-loss tips.
spam,You have been selected for a luxury trip.
spam,Urgent: Your Apple ID is locked.
spam,Free software download – today only!
spam,Exclusive casino bonuses are waiting for you.
spam,Your account has been flagged for fraud.
spam,Make money online without working!
ham,"Hi, can you send me the documents for the meeting?"
ham,Thanks for your quick reply. I really appreciate it.
ham,Shall we meet tomorrow at 3 PM at the café?
ham,"The report has been updated, see attachment."
ham,I won’t be able to attend on Friday.
ham,Congratulations on your promotion!
ham,Thanks for the lovely gift!
ham,Can you help me with the presentation?
ham,The weather is really nice today.
ham,I’ve saved and shared the file.
ham,Let’s schedule a meeting next week.
ham,Thanks for your support on the project.
ham,I’ve checked the invoices; everything is correct.
ham,Please finish the report by tomorrow.
ham,Looking forward to our meeting next week.
ham,Thanks for explaining that to me.
ham,I received the delivery today.
ham,The client gave positive feedback.
ham,Please double-check the numbers.
ham,I’ve prepared the presentation and uploaded it.
ham,The contract has been signed and returned.
ham,I’ll follow up with more information later.
ham,I sent the file link.
ham,Thanks for the dinner invitation.
ham,We should postpone the meeting.
ham,I forwarded the email to the team.
ham,"The report is now available, see attachment."
ham,Thanks for your helpful feedback.
ham,We confirmed the appointments for next week.
ham,I cannot attend on Monday.
ham,The project has been successfully completed.
ham,I made the changes in the document.
ham,The client sent additional questions.
ham,Thanks for your quick response.
ham,I prepared the presentation for the meeting.
ham,Please find the latest numbers attached.
ham,We should discuss this in the next meeting.
ham,I’ll get back to you once I have an answer.
ham,Thanks for organizing the meeting.
ham,I saved and shared the file.
ham,Let’s meet on Tuesday at 10 AM.
ham,I finished and uploaded the report.
ham,Please confirm receipt of the email.
ham,The client confirmed the delivery.
ham,Thanks for your help with the project.
ham,I reviewed the presentation.
ham,We should split the tasks.
ham,I updated the table with the changes.
ham,The meeting will take place as planned.
ham,I forwarded the email to everyone.